"screen_name","text","stripped_text2"
"WhitestoneJapan","Best And Worst Screen Protectors For Samsung Galaxy S22 Ultra https://t.co/gibp6JMGaq - @Hightechcheck2","Best And Worst Screen Protectors For Samsung Galaxy S22 Ultra https://t.co/gibp6JMGaq - @Hightechcheck2"
"WhitestoneJapan","Samsung Galaxy S22 Ultra, S22  &amp; S22 Plus Whitestone Dome Glass Protecto... https://t.co/7dLC0k5c2p - @tkdsl8655","Samsung Galaxy S22 Ultra, S22  &amp; S22 Plus Whitestone Dome Glass Protecto... https://t.co/7dLC0k5c2p - @tkdsl8655"
"WhitestoneJapan","Samsung Galaxy S22 Ultra WhiteStone Dome Premium Screen Protector Instal... https://t.co/Q9gpfsc92R - @digital_slang","Samsung Galaxy S22 Ultra WhiteStone Dome Premium Screen Protector Instal... https://t.co/Q9gpfsc92R - @digital_slang"
"WhitestoneJapan","Keep your Samsung Galaxy S22 Ultra display safe with a screen protector https://t.co/rhdDVgemYq","Keep your Samsung Galaxy S22 Ultra display safe with a screen protector https://t.co/rhdDVgemYq"
"WhitestoneJapan","Best Samsung Galaxy S22 Ultra screen protectors 2022 https://t.co/NEYsdtre2q","Best Samsung Galaxy S22 Ultra screen protectors 2022 https://t.co/NEYsdtre2q"
"WhitestoneJapan","Samsung Galaxy S22 Ultra WhiteStone Dome Premium Screen Protector Instal... https://t.co/Q9gpfsc92R - @digital_slang","Samsung Galaxy S22 Ultra WhiteStone Dome Premium Screen Protector Instal... https://t.co/Q9gpfsc92R - @digital_slang"
"WhitestoneJapan","Samsung Galaxy S22 Ultra WhiteStoneDome Installation https://t.co/N8SBF1nZEh - @Tonypazo216","Samsung Galaxy S22 Ultra WhiteStoneDome Installation https://t.co/N8SBF1nZEh - @Tonypazo216"
"WhitestoneJapan","Samsung Galaxy S22 Ultra, S22  &amp; S22 Plus Whitestone Dome Glass Protecto... https://t.co/7dLC0k5c2p - @tkdsl8655","Samsung Galaxy S22 Ultra, S22  &amp; S22 Plus Whitestone Dome Glass Protecto... https://t.co/7dLC0k5c2p - @tkdsl8655"
"WhitestoneJapan","Best Samsung Galaxy S22 Ultra Screen Protectors for 2022 https://t.co/bYHUZUGMFz","Best Samsung Galaxy S22 Ultra Screen Protectors for 2022 https://t.co/bYHUZUGMFz"
"WhitestoneJapan","The best Samsung Galaxy S22 Ultra screen protectors https://t.co/er8AwtKLZg","The best Samsung Galaxy S22 Ultra screen protectors https://t.co/er8AwtKLZg"
